address,chain,slug,name,symbol,description,defaultTokenId,logo,website,discordUrl,telegramUrl,twitterUsername,mediumUsername,lastFetched,dailyVolume,dailyVolumeUSD,totalVolume,totalVolumeUSD,marketCap,marketCapUSD,floor,floorUSD,owners
0x28472a58a490c5e09a238847f66a68a47cc76f0f,ethereum,adidasoriginals,adidas Originals Into the Metaverse,ADI,"Bored Ape Yacht Club, PUNKS Comic, and gmoney welcome adidas Originals into the Metaverse.",0,https://lh3.googleusercontent.com/_wXtGDZ07ZelRfyfqDQkhoTX_feD_w3wdFuJ25z2ZLA1R6GFzuQ2jOGURRS8d7UEJGJd1svd61tZnGRS4zN-VXTUUVmg8Wymt-Uk=s120,https://www.adidas.com/into_the_metaverse,,,,,2021-12-19T00:12:14.907Z,7404.379589194592,29311199,9699.027567428,38394861,0.7440656714329087,2945,0.89,3523,18869
71ghWqucipW661X4ht61qvmc3xKQGMBGZxwSDmZrYQmf,solana,shadowy_super_coder_dao,Shadowy Super Coder DAO,,Shadowy Super Coder DAO,,https://i.imgur.com/Hqc29kA.jpg,,,,,,2021-12-23T15:03:12.259Z,6003.428888889,1080017,114517.547010626,20601707,31564.99669,5678543,80.0,14392,0
BW7m1wf9zP42SacnUMcw7Xb2tQA8dph3GFZ5HDuReKpf,solana,panthers_in_the_metaverse,Panthers in the Metaverse,,"PITM are 3,333 bold Panther warriors on unique adventures exploring the Metaverse. The project focuses on adding value to the lives of it's members through dedicated weekly alpha, holder exclusive airdrops and a strong community. Staking and breeding are also in the mix to explore the perfect mix of innovative technology.",,https://dl.airtable.com/.attachmentThumbnails/e3115279cc99436c47b88f63283b7cdb/d06e0422,,,,,,2021-12-23T14:46:45.335Z,5673.395535968,1020644,9666.170240186,1738944,7051746.79739,1268609249,5.0,900,0
CmhU1KQf7SRyCjgCw47Axo89DMc9c1q94jKMRtDAAnSu,solana,the_neighborhood,The Neighborhood,,"The Neighborhood. Join the most futuristic, diverse and eco-friendly community in the Solana Metaverse.",,https://dl.airtable.com/.attachmentThumbnails/f7633101e4983b55c58c6a4dd80915b1/d74886f0,,,,,,2021-12-23T14:44:15.623Z,4766.784403404,857545,4814.115635404,866059,11816.03370222,2125704,1.82,327,0
EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd,solana,space_runners,Space Runners,,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.",,https://i.imgur.com/nMBgkj6.jpg,,,,,,2021-12-23T14:44:12.964Z,2855.4083989,513688,2919.615699698,525239,119674.085654321,21529368,5.0,900,0
0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,ethereum,clonex,CLONE X - X TAKASHI MURAKAMI,CloneX,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸",15549,https://lh3.googleusercontent.com/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg=s120,http://www.rtfkt.com,,,,,2021-12-18T23:29:45.980Z,1983.1209999990012,7873308,38926.97438626748,154546317,133373.35955907978,529513577,4.39,17429,6691
terra103z9cnqm8psy0nyxqtugg6m7xnwvlkqdzm4s4k,terra,galactic-punks,Galactic Punks,,"Galactic Punks are 10,921 randomly generated Punks minted into the Terraverse.",,https://randomearth-mirror.s3.us-east-2.amazonaws.com/punk3.jpg,https://randomearth.io/collections/terra103z9cnqm8psy0nyxqtugg6m7xnwvlkqdzm4s4k,,,,,2021-12-22T03:02:56.671Z,1466.98,135578,121740.31760000014,11251240,163815.0,15139782,15.0,1386,5209
8J9W44AfgWFMSwE4iYyZMNCWV9mKqovS5YHiVoKuuA2b,solana,3d_flowers,3D Flowers,,3D Flowers is a 3D NFT with upgradeable traits that will connect the SOLANA NFT ecosystem to the world of physical collectibles.,,https://dl.airtable.com/.attachmentThumbnails/93ccd80bf0ee24da685aea2daebc0d12/27f5d6d3,,,,,,2021-12-23T14:44:34.591Z,1211.999488886,218039,6338.899759853,1140368,23675.25521545,4259178,2.05,369,0
0x09233d553058c2f42ba751c87816a8e9fae7ef10,ethereum,mypethooligan,My Pet Hooligan,MPH,"An NFT collection of 8888 Pet Hooligans – unique 3D characters built with a wide variety of unique traits on the Ethereum blockchain. Not only will your NFT be packed with utility, they will also serve as your unique playable characters in our ever-expanding Metaverse, The Rabbit Hole due for beta release in Q1 2022!

This constitutes our genesis drop and is available now!",7147,https://lh3.googleusercontent.com/cdJmA0q7yBVaohfUK7AU1q7ZpeBiC5wt4nh6wRFmpQbGcYM260IP9NFPErTJs-Va0Z8x02EHEH-0wUdydBGZY2yj4akcFk0UjvAjaw=s120,http://mypethooligan.com,,,,,2021-12-19T00:12:16.270Z,961.0327294253801,3804373,3435.326955272172,13599188,4227.216665991763,16733987,0.478,1892,5148
0x4e1f41613c9084fdb9e34e11fae9412427480e56,ethereum,terraforms,Terraforms by Mathcastles,TERRAFORMS,"Onchain land art from a dynamically generated, onchain 3D world.",4420,https://lh3.googleusercontent.com/5w8DDjrDhTKLfe-r6erP3yF1m9nfFi-d4b_WbArv17vqatPg0ZwTVrnOGiry3YhQCS00gfxzOEDSbW2Zr4soCTZ0A-u0TZ3Xjln4qA=s120,,,,,,2021-12-18T23:27:56.798Z,872.1055636488738,3462399,879.111463648877,3490213,4012.71845504244,15931134,0.245,973,2329
